session_id;seconds;magx;magy;magz
46008;55951;"\xff79ff79ff79ff79ff79";"\xff65ff63ff63ff63ff63";"\xff9eff9eff9dff9dff9d"
46008;55952;"\xff79ff79ff79ff79ff79";"\xff63ff63ff64ff65ff66";"\xff9dff9dff9bff9bff9b"
46008;55953;"\xff78ff78ff78ff78ff78";"\xff66ff65ff64ff64ff64";"\xff9cff9aff98ff97ff96"
46008;55954;"\xff78ff78ff78ff78ff78";"\xff64ff63ff63ff64ff64";"\xff97ff97ff98ff99ff99"
46008;55955;"\xff78ff77ff78ff78ff77";"\xff64ff64ff64ff65ff65";"\xff9bff9dff9dff9effa0"
46008;55956;"\xff77ff76ff75ff74ff73";"\xff65ff64ff64ff65ff6b";"\xffa0ffa2ffa4ffa5ff9e"
46008;55957;"\xff78ff82ff93ffaaffc9";"\xff78ff85ff9bffb6ffd0";"\xff8fff7dff67ff52ff3e"
46008;55958;"\xffea000a002c00480060";"\xffe4fff5ffff0000ffff";"\xff2bff1aff0fff0eff0f"
46008;55959;"\x006f007b008000820084";"\xfff5ffe8ffdeffd8ffd5";"\xff13ff17ff19ff1bff1c"
46008;55960;"\x00840081008100840086";"\xffd9ffef0002000d0012";"\xff1bff1cff1fff1fff1f"
46008;55961;"\x0089008c00900095009a";"\x0016001b001e001c000c";"\xff21ff21ff22ff25ff24"
46008;55962;"\x0090007a006a0054002e";"\xfffcfff3fff2fff0ffdf";"\xff1fff1cff17ff11ff1a"
46008;55963;"\x0000ffd3ffa8ff87ff72";"\xffcfffc1ffafffa3ff98";"\xff2bff38ff46ff58ff6a"
46008;55964;"\xff57ff41ff3aff3aff3a";"\xff88ff79ff7aff7bff7a";"\xff7eff92ff98ff96ff97"
46008;55965;"\xff3bff3cff3cff3cff3c";"\xff79ff78ff78ff78ff77";"\xff98ff99ff9bff9bff9c"
46008;55966;"\xff3cff3cff3cff3cff3d";"\xff76ff75ff76ff75ff75";"\xff9cff9dff9cff9bff99"
46008;55967;"\xff3eff40ff43ff47ff4b";"\xff76ff77ff7bff7eff82";"\xff93ff89ff7cff6eff60"
46008;55968;"\xff50ff54ff57ff59ff5b";"\xff84ff88ff8cff8fff8e";"\xff51ff43ff37ff30ff2e"
46008;55969;"\xff5cff5fff5dff55ff4c";"\xff8bff8eff98ffa6ffb2";"\xff30ff33ff39ff49ff5f"
46008;55970;"\xff41ff36ff2aff1eff14";"\xffbdffcaffdcfff20005";"\xff81ffa5ffc0ffd4ffe2"
46008;55971;"\xff1bff2dff43ff49ff4a";"\x0013001200070007000d";"\xffdfffcfffb9ffa6ff94"
46008;55972;"\xff4cff4cff49ff3cff27";"\x000d0004fffdfff6ffff";"\xff8dff8cff90ff99ffa6"
46008;55973;"\xff0dff09ff0bff11ff1f";"\x0012001c00190007fff4";"\xffb8ffb8ffb5ffb6ffbb"
46008;55974;"\xff29ff31ff43ff4cff4d";"\xffdfffcdffb4ff9eff8f";"\xffc5ffe8000f0026002e"
46008;55975;"\xff50ff4bff40ff40ff45";"\xff85ff94ffadffbbffbd";"\x002c0028001f000affe0"
46008;55976;"\xff3cff35ff35ff34ff34";"\xffbeffbeffb1ffa7ff9b";"\xffbaffb9ffc7ffe5fffa"
46008;55977;"\xff34ff2bff1fff20ff2b";"\xff8eff8bff90ff92ff8e";"\xfffaffff0003fffcffde"
46008;55978;"\xff35ff3bff3eff42ff49";"\xff8dff8cff8dff90ffa4";"\xffc5ffadff97ff94ff96"
46008;55979;"\xff53ff5aff5cff5dff5e";"\xffc3ffeb00150042006b";"\xff9effacffb4ffb8ffb6"
46008;55980;"\xff63ff67ff69ff67ff63";"\x008f00b000bc00bb00b5";"\xffb7ffb8ffbaffbaffbb"
46008;55981;"\xff61ff5cff56ff51ff51";"\x00b000ab00a00091007d";"\xffc0ffcaffd5ffdcffe3"
46008;55982;"\xff58ff63ff72ff89ffac";"\x006a005a00530049003b";"\xffe8ffe5ffdaffc5ffa8"
46008;55983;"\xffdb0012004b008200b5";"\x002c001a001000130010";"\xff8bff76ff66ff63ff73"
46008;55984;"\x00e4010c012a013e0145";"\x000a0007000b0014002a";"\xff87ff9dffb6ffc7ffce"
46008;55985;"\x014501410139012f0124";"\x004400500061006f0081";"\xffe1ffe5ffd9ffc8ffc7"
46008;55986;"\x0118010900f400d000a1";"\x009600b000c400c800ce";"\xffceffd6ffd6ffb9ffa1"
